person_id,arrest_id,charge_degree,offense_category,arrest_date_event
78786,3835604,felony,property,2018-05-01
78786,11999735,felony,property,2018-05-01
1064849,3442497,misdemeanor,other,2018-07-12
78786,4205882,felony,property,2018-03-09
78786,12006352,felony,property,2018-03-09
1064849,12005527,misdemeanor,other,2018-07-12
65387,3874241,misdemeanor,other,2018-04-24
411055,2002693,felony,violent,2019-03-25
66936,2078501,misdemeanor,other,2019-03-12
65387,3514373,misdemeanor,other,2018-06-29
2108170,8504503,felony,violent,2015-03-25
1026471,4327311,misdemeanor,other,2018-02-15
57529,11571593,felony,violent,2012-05-13
81823,8198707,felony,other,2015-07-03
82486,6892766,felony,violent,2016-07-02
85246,2532457,felony,violent,2018-12-15
8819,5053407,felony,other,2017-10-06
9102,4983747,felony,property,2017-10-19
11885,5223686,felony,other,2017-09-09
66936,4531245,felony,violent,2018-01-10
81823,8365390,felony,violent,2020-11-06
47273,9853259,felony,violent,2020-07-17
67140,5145527,felony,other,2017-09-20
50867,5473408,felony,violent,2017-07-21
11936,4677730,felony,other,2017-12-07
247459,4852731,felony,violent,2017-11-08
45181,3488332,misdemeanor,other,2018-07-05
50827,3109728,felony,other,2018-08-29
45181,3488308,misdemeanor,other,2018-07-05
47154,3578573,misdemeanor,drug,2018-06-19
1017719,2404813,misdemeanor,other,2019-01-11
10071,1693237,felony,other,2020-05-14
1251769,10109238,misdemeanor,other,2013-10-08
73796,9304106,misdemeanor,other,2014-06-27
73796,5195856,misdemeanor,other,2017-09-12
1130673,7005244,misdemeanor,other,2016-05-28
83127,5610051,misdemeanor,drug,2017-06-20
25523,516515,misdemeanor,other,2019-12-16
32790,8662202,misdemeanor,other,2015-02-01
28865,5913706,misdemeanor,other,2017-04-09
1113786,6475895,felony,drug,2016-11-02
2497431,7792027,misdemeanor,drug,2015-11-04
2452788,2330697,felony,violent,2019-01-28
2497431,7911304,misdemeanor,other,2015-09-29
2452788,2483707,felony,violent,2018-12-27
698945,6614488,misdemeanor,other,2016-09-21
106675,3225500,misdemeanor,other,2018-08-05
311707,8988967,misdemeanor,drug,2014-10-09
32790,9169477,misdemeanor,other,2014-08-11
184900,6820431,felony,violent,2016-07-22
184900,7157228,misdemeanor,other,2016-05-06
704623,7556077,misdemeanor,other,2016-01-15
66046,5057571,misdemeanor,other,2017-10-06
309222,5768641,misdemeanor,other,2017-05-16
25110,5491065,misdemeanor,other,2017-07-18
301613,5513065,misdemeanor,other,2017-07-13
597360,5885165,felony,drug,2017-04-16
637495,4521188,felony,violent,2018-01-12
754401,2698916,misdemeanor,other,2018-11-14
637495,4484900,felony,violent,2018-01-19
32790,6060013,misdemeanor,other,2017-03-01
27586,1539637,misdemeanor,other,2019-05-29
32790,6744042,misdemeanor,other,2016-08-15
101770,5351996,misdemeanor,other,2017-08-15
3007259,2989464,misdemeanor,other,2018-09-20
14780,6487251,misdemeanor,drug,2016-10-28
1064456,778313,misdemeanor,other,2019-10-23
21493,2388065,misdemeanor,violent,2019-01-15
21406,4156142,misdemeanor,violent,2020-08-13
1064456,418118,misdemeanor,other,2020-01-08
79024,8068613,misdemeanor,violent,2015-08-11
1063563,7718470,felony,property,2015-11-25
79024,8117661,misdemeanor,other,2015-07-27
78786,8131897,misdemeanor,violent,2015-07-22
19918,8158294,misdemeanor,violent,2015-07-14
79024,8706234,misdemeanor,violent,2015-01-20
1439871,7773343,misdemeanor,property,2015-11-09
14780,8745103,felony,property,2015-01-08
20010,7784492,misdemeanor,violent,2015-11-05
78786,6465058,misdemeanor,property,2016-11-04
20010,6528308,misdemeanor,drug,2016-10-17
1465404,6585774,misdemeanor,violent,2016-09-28
1439871,6673982,felony,property,2016-09-02
79024,6702548,misdemeanor,violent,2016-08-26
9044,4738877,felony,drug,2017-11-28
1063563,6123275,misdemeanor,property,2017-02-13
14836,5293070,misdemeanor,violent,2017-08-25
9044,5001766,felony,drug,2017-10-16
14780,5686387,misdemeanor,drug,2017-06-02
79024,4486337,misdemeanor,property,2018-01-18
78820,3678851,misdemeanor,violent,2018-05-30
20799,2953461,misdemeanor,other,2018-09-26
79024,2540764,misdemeanor,other,2018-12-13
14836,563869,misdemeanor,other,2019-12-05
14260,1957954,misdemeanor,violent,2019-04-02
14413,1255062,misdemeanor,other,2019-07-22
14773,858015,misdemeanor,violent,2019-10-07
14413,1249218,misdemeanor,other,2019-07-23
14773,789341,felony,violent,2019-10-21
14780,370660,misdemeanor,drug,2020-01-17
14780,11956868,misdemeanor,drug,2016-10-28
1063563,11922242,misdemeanor,property,2014-04-23
1063563,11937033,felony,property,2015-11-25
1439871,11937077,misdemeanor,property,2015-11-09
20010,11937093,misdemeanor,violent,2015-11-05
79024,11937267,misdemeanor,violent,2015-08-11
79024,11937320,misdemeanor,other,2015-07-27
19918,11937347,misdemeanor,violent,2015-07-14
78786,11937335,misdemeanor,violent,2015-07-22
79024,11935772,misdemeanor,violent,2015-01-20
14780,11935799,felony,property,2015-01-08
78786,11956759,felony,violent,2016-12-05
78786,11956844,misdemeanor,property,2016-11-04
14780,11956862,misdemeanor,drug,2016-10-31
1465404,11956956,misdemeanor,violent,2016-09-28
20010,11956901,misdemeanor,drug,2016-10-17
1439871,11957003,felony,property,2016-09-02
79024,11957032,misdemeanor,violent,2016-08-26
1063563,11974722,misdemeanor,property,2017-02-13
14836,11976068,misdemeanor,violent,2017-08-25
14780,11976338,misdemeanor,drug,2017-06-02
9044,11977323,felony,drug,2017-11-28
9044,11977411,felony,drug,2017-10-16
79024,11998282,misdemeanor,property,2018-01-18
79024,11999149,misdemeanor,other,2018-12-13
20799,11999318,misdemeanor,other,2018-09-26
78820,11999660,misdemeanor,violent,2018-05-30
79024,10195593,misdemeanor,other,2013-09-06
14780,10789458,misdemeanor,property,2013-02-13
1455195,10500239,misdemeanor,other,2013-05-26
1440050,8857116,misdemeanor,property,2014-11-24
78786,9645811,misdemeanor,property,2014-03-11
78786,9645810,misdemeanor,drug,2014-03-11
78786,9833720,misdemeanor,property,2014-01-03
78786,8451267,misdemeanor,drug,2015-04-11
14773,8559566,misdemeanor,violent,2015-03-09
79024,8320335,misdemeanor,other,2015-05-23
79024,8335717,misdemeanor,other,2015-05-18
1063563,8008709,misdemeanor,property,2015-08-30
1439871,6603878,misdemeanor,drug,2016-09-22
20010,7603720,misdemeanor,violent,2016-01-02
14773,6741334,misdemeanor,property,2016-08-15
78786,6927286,misdemeanor,property,2016-06-21
14780,6948168,misdemeanor,drug,2016-06-14
78786,7400798,misdemeanor,property,2016-02-29
1063563,6551557,misdemeanor,property,2016-10-10
1439871,6304487,misdemeanor,property,2016-12-24
1065214,6992261,misdemeanor,violent,2016-06-01
1065548,6659898,misdemeanor,property,2016-09-07
14780,7048388,misdemeanor,property,2016-05-16
1063563,6700260,misdemeanor,property,2016-08-28
79024,6759183,misdemeanor,other,2016-08-10
1439871,7280409,misdemeanor,other,2016-04-01
21493,7539367,misdemeanor,property,2016-01-20
